矛盾,穴,MaxDD,Sharpe,リターン,現金化%
n_unb_total,meanP,-12.21143899313163,1.080680943629125,65.61192827521572,60.35598705501618
n_unb_total,L2,-13.610199423271984,0.9826100817357363,59.91264254437103,51.45631067961165
n_unb_5plus,meanP,-13.733700181724817,0.9734479019637905,61.185791263051684,61.73139158576052
n_unb_3,meanP,-14.735831510411067,0.31439802309586234,17.47655206055494,63.75404530744336
n_unb_5plus,Linf,-14.861139991535977,1.216476486203664,91.13861494449911,57.68608414239482
n_unb_total,Linf,-14.96930889586121,1.074166764099413,69.44514607527701,58.81877022653722
n_unb_total,L1,-15.591044693056666,0.9513764918998845,62.74719035412646,46.92556634304207
n_unb_5plus,L1,-16.12552606966011,0.6910243964071805,44.71980975708081,46.116504854368934
n_unb_3,entropy,-16.75331717500067,0.7194364507854716,48.87452668766245,41.18122977346278
weighted_unb,Linf,-17.056485514532717,0.761483303823895,46.988673074584895,55.50161812297735
n_unb_5plus,entropy,-17.51541707819647,0.558044321804806,34.240164228728574,44.66019417475729
n_unb_5plus,L2,-18.363610039444843,0.8495108967700767,56.80256148488236,50.566343042071196
n_unb_3,L2,-19.466158715050298,0.21741422762845802,12.109106868039564,53.31715210355987
n_unb_3,L1,-19.503524008537354,0.40877086736779983,24.733283867811416,48.86731391585761
weighted_unb,L1,-20.21352698177835,0.3042659877966134,17.856560768060792,47.896440129449836
n_unb_3,Linf,-20.21736449458622,0.27681547539440426,14.89303589532911,62.13592233009708
n_unb_total,entropy,-21.37473714359962,0.5282627318686605,33.901267884534356,43.36569579288026
weighted_unb,nH1,-21.523683067118572,0.5215612883427142,32.62967094241249,43.77022653721683
n_unb_3,nH1,-21.80868314219775,0.33660415128507165,19.908550668575597,44.417475728155345
weighted_unb,meanP,-22.154734001453967,0.29522404423314963,14.699491064452008,62.7831715210356
n_unb_5plus,nH1,-22.23894170722471,0.5778150688712201,33.224968783800726,47.49190938511327
n_unb_4,Linf,-22.374754325350533,0.8148830721122562,48.72923881286042,56.148867313915865
n_unb_4,nH1,-22.59850286090107,0.5192966234875176,32.457153219317505,43.36569579288026
n_unb_4,L1,-23.254300724163713,0.40225259616857706,23.255362175809147,48.46278317152103
n_unb_4,entropy,-24.317121413435437,0.3830569513054752,23.721270221894166,43.203883495145625
weighted_unb,L2,-25.712748542521023,0.46040707930182756,26.57919195609635,49.19093851132686
n_unb_total,nH1,-26.639679596667097,0.3488025304584405,20.536358241051555,45.79288025889968
n_unb_4,L2,-27.010836998661336,0.41722271832682084,23.897956646105833,49.676375404530745
weighted_unb,entropy,-28.033450472122546,0.23343322396748514,13.915143199202063,43.203883495145625
n_unb_4,meanP,-32.27072696020896,0.06582343090708133,3.297047540568565,58.41423948220065
